amc_name,year,month,code,gross_sale,gross_purchase,pf_turnover_ratio,performance_of_pf,value_of_assets
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,7,DISC,9.984,9.331,0.127,2.52,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,4,DISC,14.3654,14.9504,.2,2.4,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,11,DISC,6.6103,10.5427,.16,-7.79,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,6,DISC,13.586,13.626,0.189,3.18,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,12,DISC,6.3717,5.6359,.09,-2.17,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,10,DISC,4.1073,3.3248,.05,4.34,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,8,DISC,10.8242,11.0915,.16,-.21,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,1,DISC,6.1251,5.5552,.09,4.5,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,2,DISC,16.3852,15.9249,.24,4.82,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,3,DISC,9.5055,9.533,.14,4.38,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,5,DISC,24.6623,24.9226,.42,.25,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,4,DISC,8.5786,8.087,.13,2.61,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,6,DISC,9.5966,9.6093,.16,5.51,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,7,DISC,3.8263,5.1878,.08,3.5,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,9,DISC,7.8543,8.8104,.13,-1.27,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2020,1,DISC,16.316,16.258,0.233,6.28,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,12,DISC,15.016,13.891,0.219,1.31,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,11,DISC,21.677,18.291,0.289,3.14,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,10,DISC,8.13,7.148,0.116,1.96,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,7,DISC,13.679,15.307,0.23,-7.81,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,5,DISC,13.051,15.944,0.214,-3.44,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,2,DISC,24.931,14.443,0.18,-0.33,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,3,DISC,32.306,25.698,0.356,5.59,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,9,DISC,6.572,7.084,0.115,3.82,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,8,DISC,8.44,9.037,0.141,-4.61,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,11,DISC,11.357,13.864,0.141,3.24,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,4,DISC,12.936,18.006,0.244,-2.0,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,10,DISC,50.636,47.104,0.492,0.09,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,9,DISC,11.642,11.1,0.116,-6.96,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,6,DISC,15.602,18.899,0.186,-2.11,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,8,DISC,10.047,10.505,0.102,0.71,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,4,DISC,13.574,17.595,0.16,5.84,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,1,DISC,37.856,31.442,0.366,-1.45,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,12,DISC,23.558,24.767,0.253,4.0,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,3,DISC,23.614,36.804,0.368,-5.3,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2019,6,DISC,14.683,13.873,0.191,-4.1,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,5,DISC,13.213,13.252,0.131,-7.4,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,1,DISC,15.667,13.834,0.175,-1.76,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,2,DISC,20.129,32.484,0.344,1.11,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,12,DISC,9.514,11.012,0.137,3.78,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,9,DISC,8.497,8.799,0.129,0.31,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,11,DISC,10.965,10.909,0.142,5.04,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,12,DISC,5.6284,14.5571,.23,1.14,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2018,7,DISC,11.51,10.474,0.103,-0.23,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,10,DISC,8.454,7.221,0.099,6.51,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2017,8,DISC,10.867,11.695,0.171,-4.87,0.0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,3,DISC,11.7512,5.5493,.1,6.4,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,10,DISC,4.9433,1.5987,.03,3.48,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,2,DISC,11.9887,7.7565,.13,-9.36,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2016,1,DISC,11.7646,14.2575,.22,-7.18,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,5,DISC,5.089,3.0363,.07,1.18,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,7,DISC,5.5644,4.1252,.09,6.34,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,9,DISC,3.3887,3.0731,.06,1.43,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,2,DISC,1.4948,5.5383,.15,5.59,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,12,DISC,3.634,3.4295,.11,2.72,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,3,DISC,5.1497,10.6576,.23,-.85,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,4,DISC,5.1195,6.7426,.15,-2.63,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,6,DISC,7.1516,5.7975,.13,-1.54,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,11,DISC,2.1176,3.8644,.13,.81,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,DISC,.439,.8481,.09,-2.25,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,8,DISC,4.9215,11.5027,.23,-6.57,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,11,DISC,4.829,9.557,.18,3.34,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,.1536,.8767,.1,4.89,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,6,DISC,3.0275,1.4261,.07,8.51,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,10,DISC,.4309,.5334,.07,6.79,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,7,DISC,.8505,1.0101,.17,-7.1,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,3,DISC,.5971,.8065,.07,8.24,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,6,DISC,.7902,1.1597,.17,-7.56,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,5,DISC,.7359,.4437,.06,-2.43,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,4,DISC,.7736,1.3697,.2,2.26,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,1,DISC,.8273,1.4632,.28,-1.66,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,4,DISC,1.564,5.9861,.38,5.71,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,2,DISC,.2883,1.0598,.18,-4.42,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,9,DISC,.6238,.5986,.08,6.06,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2015,1,DISC,2.6714,2.1455,.06,6.78,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,8,DISC,2.3711,4.8893,.2,-.15,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,7,DISC,2.7596,6.2885,.3,3.41,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,9,DISC,3.3724,4.4271,.17,3.39,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,1.0856,1.6672,.17,.96,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,10,DISC,2.1449,2.7954,.1,3.14,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,8,DISC,.5829,1.6506,.24,.79,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,3,DISC,.9729,1.9847,.29,-2.14,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,11,DISC,.6659,.2277,.03,2.02,0
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,2.59,3.4275,.2,10.56,0
